player,team,player_norm,year,ga_total,save_pct,clean_sheet_pct,ga90,psxg_minus_ga,intl_matches,intl_goals_conceded,intl_ga90,intl_clean_sheet_pct,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,glove_score,golden_glove_probability,won_golden_glove
Emiliano Martínez,Argentina,emiliano martinez,2026,,68.0,25.0,1.0,0.0,42,14.0,0.358974358974359,0.6666666666666666,J,0.9947,0.2258,0.93788,5.51006,0.8088215161358573,0.4,0.46893999999999997,0.0483,0
Unai Simón,Spain,unai simon,2026,,68.0,25.0,1.0,0.0,44,34.0,0.8292682926829268,0.4318181818181818,H,0.9973,0.2072,0.8968184005739117,5.41732,0.7924092233354652,0.3,0.4484092002869558,0.0462,0
Mike Maignan,France,mike maignan,2026,,68.0,25.0,1.0,0.0,43,35.0,0.875,0.4418604651162791,I,0.9942,0.1862,0.853255398361387,5.36182,0.8322271464996202,0.2,0.42662769918069343,0.044,0
Jordan Pickford,England,jordan pickford,2026,,68.0,25.0,1.0,0.0,44,23.0,0.5609756097560976,0.5227272727272727,L,0.9764,0.0795,0.6943535738439714,4.98507,0.8404701793202152,0.4,0.34717678692198567,0.0358,0
Alisson,Brazil,alisson,2026,,68.0,25.0,1.0,0.0,40,42.0,1.135135135135135,0.275,C,0.9972,0.0563,0.6656539681950302,4.90731,0.8604045061209658,0.4,0.33282698409751504,0.0343,0
Marc-André ter Stegen,Germany,marcandre ter stegen,2026,,68.0,25.0,1.0,0.0,43,48.0,1.2,0.3023255813953488,E,0.9986,0.0407,0.6508453025823379,4.97455,0.8519199169349138,0.4,0.3254226512911689,0.0335,0
Diogo Costa,Portugal,diogo costa,2026,,68.0,25.0,1.0,0.0,43,33.0,0.825,0.4186046511627907,K,0.9628,0.0548,0.6471290088220166,4.87252,0.8762711448004248,0.4,0.32356450441100826,0.0334,0
Koen Casteels,Belgium,koen casteels,2026,,68.0,25.0,1.0,0.0,41,32.0,0.8421052631578947,0.43902439024390244,G,0.9905,0.0174,0.6052473827384152,4.83146,0.8570327797345568,0.4,0.3026236913692075,0.0312,0
Bart Verbruggen,Netherlands,bart verbruggen,2026,,68.0,25.0,1.0,0.0,43,43.0,1.075,0.37209302325581395,F,0.9916,0.0222,0.5920678949796543,4.8315,0.8833133280618021,0.2,0.2960339474898271,0.0305,0
Yassine Bounou,Morocco,yassine bounou,2026,,68.0,25.0,1.0,0.0,54,19.0,0.37254901960784315,0.6481481481481481,C,0.9982,0.0314,0.5903277532298429,4.4976199999999995,0.8640009416034977,0.3,0.2951638766149214,0.0304,0
Luis Malagón,Mexico,luis malagon,2026,,68.0,25.0,1.0,0.0,60,53.0,0.9298245614035088,0.5166666666666667,A,0.9746,0.0074,0.5786596221169522,4.744339999999999,0.8962302873833305,0.4,0.28932981105847605,0.0298,0
Yann Sommer,Switzerland,yann sommer,2026,,68.0,25.0,1.0,0.0,42,42.0,1.0769230769230769,0.30952380952380953,B,0.9801,0.0016,0.5508782838864734,4.59028,0.8886625439553777,0.3,0.27543914194323665,0.0284,0
Zion Suzuki,Japan,zion suzuki,2026,,68.0,25.0,1.0,0.0,41,26.0,0.6842105263157895,0.4878048780487805,F,0.971,0.0053,0.5438605520176889,4.36069,0.954710526791253,0.4,0.2719302760088444,0.028,0
Matt Turner,United States,matt turner,2026,,68.0,25.0,1.0,0.0,57,64.0,1.1851851851851851,0.3157894736842105,D,0.9372,0.0067,0.5332024935631385,4.62427,0.9330237339597042,0.2,0.2666012467815692,0.0275,0
Hernán Galíndez,Ecuador,hernan galindez,2026,,68.0,25.0,1.0,0.0,42,24.0,0.6153846153846154,0.4523809523809524,E,0.9658,0.0004,0.5262944849577382,4.24804,0.9526914893172308,0.4,0.26314724247886906,0.0271,0
Camilo Vargas,Colombia,camilo vargas,2026,,68.0,25.0,1.0,0.0,45,36.0,0.8571428571428571,0.4222222222222222,K,0.9032,0.0138,0.5246083156973151,4.3177,0.9268103487312154,0.4,0.2623041578486575,0.027,0
Dayne St. Clair,Canada,dayne st clair,2026,,68.0,25.0,1.0,0.0,46,41.0,0.9534883720930233,0.43478260869565216,B,0.9404,0.0005,0.52301993348417,4.45829,0.9616142406798246,0.3,0.26150996674208493,0.027,0
