player,player_norm,team,goals_total,xg_total,shots_total,shots_on_target_pct,league_difficulty,minutes,goals_per90,xg_per90,npxg_per90,shots_per90
A. Ait El Hadj,a ait el hadj,Belgium,4.0,0.0,28.0,0.0,0.76,1504.0,0.23936170212765956,0.0,0.0,1.675531914893617
A. Bertaccini,a bertaccini,Belgium,21.0,0.0,77.0,0.0,0.76,2765.0,0.6835443037974683,0.0,0.0,2.5063291139240507
A. Budimir,a budimir,Croatia,20.999999999999996,0.0,77.99999999999999,0.0,1.0,2966.0,0.6372218476062035,0.0,0.0,2.36682400539447
A. Castillo Manyoma,a castillo manyoma,Colombia,3.0,0.0,15.0,0.0,0.7,1178.0,0.22920203735144312,0.0,0.0,1.1460101867572157
A. El Ouazzani,a el ouazzani,Morocco,7.0,0.0,30.000000000000004,0.0,0.82,1598.0,0.39424280350438046,0.0,0.0,1.6896120150187737
A. Elanga,a elanga,Sweden,6.0,0.0,37.0,0.0,1.0,2508.0,0.21531100478468898,0.0,0.0,1.3277511961722488
A. Gouiri,a gouiri,France,10.0,0.0,36.0,0.0,1.0,1051.0,0.8563273073263559,0.0,0.0,3.0827783063748813
A. Griezmann,a griezmann,France,8.0,0.0,35.99999999999999,0.0,1.0,2478.0,0.29055690072639223,0.0,0.0,1.3075060532687648
A. Hamed Allah,a hamed allah,Morocco,21.0,0.0,70.00000000000001,0.0,0.35,2269.0,0.8329660643455267,0.0,0.0,2.7765535478184225
A. Isak,a isak,Sweden,23.0,0.0,76.00000000000001,0.0,1.0,2769.0,0.7475622968580715,0.0,0.0,2.4702058504875413
A. Kadri,a kadri,Algeria,5.000000000000001,0.0,37.0,0.0,0.76,2188.0,0.20566727605118834,0.0,0.0,1.5219378427787935
A. Kalimuendo,a kalimuendo,France,17.000000000000004,0.0,53.0,0.0,1.0,2589.0,0.5909617612977985,0.0,0.0,1.8424101969872537
A. Kramarić,a kramaric,Croatia,22.0,0.0,110.0,0.0,1.0,5564.0,0.3558590941768512,0.0,0.0,1.7792954708842559
A. Lacazette,a lacazette,France,15.000000000000002,0.0,49.00000000000001,0.0,1.0,2061.0,0.6550218340611355,0.0,0.0,2.139737991266376
A. Lescano,a lescano,Argentina,11.000000000000002,0.0,62.0,0.0,0.7,3035.0,0.3261943986820429,0.0,0.0,1.8385502471169688
A. Martínez,a martinez,Argentina,35.5299240483774,0.0,123.15114595629998,0.0,0.6231367106176265,4323.0,0.7396930752611535,0.0,0.0,2.5638684099160303
A. Masuaku,a masuaku,Congo DR,0.0,0.0,23.0,0.0,0.72,2759.0,0.0,0.0,0.0,0.750271837622327
A. Palavecino,a palavecino,Argentina,8.000000000000002,0.0,77.00000000000001,0.0,0.54,3136.0,0.22959183673469394,0.0,0.0,2.2098214285714293
A. Pléa,a plea,France,11.000000000000002,0.0,26.000000000000004,0.0,1.0,1914.0,0.517241379310345,0.0,0.0,1.2225705329153607
A. Robinson,a robinson,United States,0.0,0.0,11.0,0.0,1.0,3167.0,0.0,0.0,0.0,0.312598673823808
A. Sayoud,a sayoud,Algeria,7.999999999999999,0.0,38.99999999999999,0.0,0.35,2030.0,0.354679802955665,0.0,0.0,1.7290640394088665
A. Sayyadmanesh,a sayyadmanesh,Iran,7.0,0.0,48.00000000000001,0.0,0.76,2176.0,0.28952205882352944,0.0,0.0,1.985294117647059
A. Semenyo,a semenyo,Ghana,10.999999999999998,0.0,80.99999999999999,0.0,1.0,3209.0,0.30850732315363033,0.0,0.0,2.271735743222187
A. Stiller,a stiller,Germany,1.0000000000000002,0.0,10.0,0.0,1.0,2743.0,0.03281079110462998,0.0,0.0,0.32810791104629966
A. Sørloth,a srloth,Norway,20.000000000000004,0.0,65.00000000000001,0.0,1.0,1560.0,1.1538461538461542,0.0,0.0,3.750000000000001
A. Thomasson,a thomasson,France,3.0,0.0,23.0,0.0,1.0,2623.0,0.10293556995806329,0.0,0.0,0.7891727030118185
A. Vega,a vega,Mexico,32.00000000000001,0.0,144.00000000000003,0.0,0.54,6476.0,0.44471896232242136,0.0,0.0,2.0012353304508963
A. Zendejas,a zendejas,United States,21.999999999999996,0.0,102.0,0.0,0.54,6128.0,0.32310704960835507,0.0,0.0,1.498041775456919
A. Zorgane,a zorgane,Algeria,1.0,0.0,20.0,0.0,0.76,3309.0,0.027198549410698096,0.0,0.0,0.543970988213962
Aarón Martín,aaron martin,Spain,0.0,0.0,11.000000000000002,0.0,1.0,3088.0,0.0,0.0,0.0,0.3205958549222799
Abdulrahman Al Obud,abdulrahman al obud,Saudi Arabia,6.999999999999999,0.0,16.0,0.0,0.35,1148.0,0.548780487804878,0.0,0.0,1.254355400696864
Alan,alan,Brazil,7.0,0.0,35.0,0.0,0.8200000000000001,2531.0,0.24891347293559857,0.0,0.0,1.244567364677993
Alerrandro,alerrandro,Brazil,15.0,0.0,51.0,0.0,0.74,2405.0,0.5613305613305614,0.0,0.0,1.9085239085239085
Andrey Santos,andrey santos,Brazil,10.000000000000002,0.0,34.0,0.0,1.0,2857.0,0.31501575078753946,0.0,0.0,1.071053552677634
Ayoze Pérez,ayoze perez,Spain,19.0,0.0,57.0,0.0,1.0,1976.0,0.8653846153846154,0.0,0.0,2.5961538461538463
B. Barcola,b barcola,France,28.0,0.0,134.00000000000003,0.0,1.0,4384.0,0.5748175182481752,0.0,0.0,2.750912408759125
B. Boutobba,b boutobba,France,11.0,0.0,36.0,0.0,0.7200000000000001,1802.0,0.5493895671476138,0.0,0.0,1.798002219755827
B. Dia,b dia,Senegal,9.000000000000002,0.0,28.0,0.0,1.0,2192.0,0.36952554744525556,0.0,0.0,1.1496350364963503
B. Doak,b doak,Scotland,3.0,0.0,22.000000000000004,0.0,0.68,1788.0,0.15100671140939598,0.0,0.0,1.1073825503355705
B. Nsimba,b nsimba,Belgium,9.0,0.0,50.0,0.0,0.76,2436.0,0.33251231527093594,0.0,0.0,1.8472906403940887
B. Raman,b raman,Belgium,12.0,0.0,48.0,0.0,0.76,1380.0,0.7826086956521738,0.0,0.0,3.1304347826086953
B. Rodríguez,b rodriguez,Uruguay,9.0,0.0,40.0,0.0,0.54,1895.0,0.42744063324538256,0.0,0.0,1.8997361477572559
B. Romero,b romero,Argentina,36.0,0.0,173.99999999999997,0.0,0.7,6810.0,0.47577092511013214,0.0,0.0,2.2995594713656384
B. Saka,b saka,England,5.999999999999999,0.0,41.0,0.0,1.0,1735.0,0.31123919308357345,0.0,0.0,2.126801152737752
B. White,b white,United States,16.000000000000004,0.0,61.0,0.0,0.52,2781.0,0.5177993527508092,0.0,0.0,1.9741100323624596
B. Yılmaz,b ylmaz,Türkiye,12.0,0.0,54.0,0.0,0.72,2609.0,0.4139517056343427,0.0,0.0,1.862782675354542
Borja Iglesias,borja iglesias,Spain,10.999999999999998,0.0,39.0,0.0,1.0,1964.0,0.5040733197556008,0.0,0.0,1.7871690427698574
Borja Sainz,borja sainz,Spain,18.000000000000004,0.0,88.00000000000001,0.0,0.68,3616.0,0.44800884955752224,0.0,0.0,2.190265486725664
Bruno Fernandes,bruno fernandes,Portugal,8.0,0.0,65.0,0.0,1.0,3024.0,0.23809523809523808,0.0,0.0,1.9345238095238095
C. Adams,c adams,Scotland,8.999999999999998,0.0,47.0,0.0,1.0,2656.0,0.3049698795180722,0.0,0.0,1.5926204819277108
C. Aquino,c aquino,Argentina,20.0,0.0,146.0,0.0,0.7,7042.0,0.2556092019312695,0.0,0.0,1.8659471740982676
C. Arango,c arango,Colombia,17.0,0.0,105.0,0.0,0.52,2400.0,0.6375,0.0,0.0,3.9375
C. Benteke,c benteke,Belgium,23.0,0.0,68.0,0.0,0.52,2600.0,0.7961538461538461,0.0,0.0,2.353846153846154
C. Bishop,c bishop,England,10.999999999999998,0.0,49.0,0.0,0.68,2635.0,0.3757115749525616,0.0,0.0,1.6736242884250474
C. De Ketelaere,c de ketelaere,Belgium,7.0,0.0,38.0,0.0,1.0,2078.0,0.30317613089509143,0.0,0.0,1.645813282001925
C. Doyle,c doyle,England,1.0,0.0,14.999999999999998,0.0,0.6799999999999999,3442.0,0.026147588611272515,0.0,0.0,0.39221382916908765
C. Echeverri,c echeverri,Argentina,3.0,0.0,44.0,0.0,0.7,1708.0,0.15807962529274006,0.0,0.0,2.3185011709601873
C. Espinoza,c espinoza,Argentina,4.0,0.0,42.99999999999999,0.0,0.52,2979.0,0.12084592145015105,0.0,0.0,1.2990936555891235
C. Goodwin,c goodwin,Australia,6.0,0.0,27.0,0.0,0.35,1920.0,0.28125,0.0,0.0,1.265625
C. Guanca,c guanca,Argentina,22.0,0.0,122.0,0.0,0.35,5826.0,0.33985581874356335,0.0,0.0,1.8846549948506695
C. Hernández,c hernandez,Colombia,38.0,0.0,190.0,0.0,0.52,4598.0,0.743801652892562,0.0,0.0,3.71900826446281
C. Palmer,c palmer,England,30.0,0.0,172.0,0.0,1.0,6398.0,0.4220068771491091,0.0,0.0,2.419506095654892
C. Pulišić,c pulisic,United States,22.000000000000004,0.0,74.0,0.0,1.0,4978.0,0.39775010044194464,0.0,0.0,1.3378867014865408
C. Rodríguez,c rodriguez,Mexico,0.0,0.0,19.0,0.0,0.54,3139.0,0.0,0.0,0.0,0.544759477540618
C. Rotondi,c rotondi,Argentina,22.0,0.0,112.0,0.0,0.54,6162.0,0.3213242453748783,0.0,0.0,1.6358325219084713
C. Stuani,c stuani,Uruguay,10.999999999999998,0.0,29.999999999999996,0.0,1.0,1068.0,0.9269662921348313,0.0,0.0,2.528089887640449
C. Vanhoutte,c vanhoutte,Belgium,1.0,0.0,14.0,0.0,0.76,2682.0,0.03355704697986577,0.0,0.0,0.4697986577181208
Cameron Puertas,cameron puertas,Spain,1.0,0.0,56.0,0.0,0.35,2513.0,0.035813768404297654,0.0,0.0,2.0055710306406684
Cassiano,cassiano,Brazil,9.999999999999998,0.0,31.0,0.0,0.82,1987.0,0.45294413688978347,0.0,0.0,1.4041268243583291
Cauly,cauly,Brazil,4.0,0.0,29.999999999999996,0.0,0.74,2696.0,0.13353115727002968,0.0,0.0,1.0014836795252224
Christantus Uche,christantus uche,Spain,4.0,0.0,35.0,0.0,1.0,2501.0,0.1439424230307877,0.0,0.0,1.2594962015193922
Clayton,clayton,Brazil,14.0,0.0,72.0,0.0,0.82,2715.0,0.46408839779005523,0.0,0.0,2.386740331491713
Cláudio Winck,claudio winck,Brazil,3.0000000000000004,0.0,26.0,0.0,0.72,2344.0,0.11518771331058023,0.0,0.0,0.9982935153583617
Cristiano Ronaldo,cristiano ronaldo,Portugal,25.0,0.0,113.0,0.0,0.35,2625.0,0.8571428571428571,0.0,0.0,3.874285714285714
D. Bakwa,d bakwa,France,6.0,0.0,38.0,0.0,1.0,2509.0,0.21522518931845358,0.0,0.0,1.3630928656835393
D. Haspolat,d haspolat,Türkiye,2.0,0.0,26.0,0.0,0.7600000000000001,3078.0,0.05847953216374269,0.0,0.0,0.7602339181286549
D. Heymans,d heymans,Belgium,14.0,0.0,92.0,0.0,0.7599999999999999,3420.0,0.3684210526315789,0.0,0.0,2.4210526315789473
D. Lukebakio,d lukebakio,Belgium,11.0,0.0,75.0,0.0,1.0,3098.0,0.3195610071013557,0.0,0.0,2.1788250484183345
D. Mbayo,d mbayo,Belgium,3.9999999999999987,0.0,21.999999999999996,0.0,0.78,2116.0,0.17013232514177687,0.0,0.0,0.935727788279773
D. Mertens,d mertens,Belgium,5.0,0.0,35.0,0.0,0.72,1884.0,0.23885350318471338,0.0,0.0,1.6719745222929936
D. Mihailović,d mihailovic,United States,10.999999999999998,0.0,38.0,0.0,0.52,2570.0,0.3852140077821011,0.0,0.0,1.3307392996108949
D. Puebla,d puebla,Argentina,11.0,0.0,49.0,0.0,0.7,3020.0,0.32781456953642385,0.0,0.0,1.4602649006622517
D. Türüç,d turuc,Türkiye,5.0,0.0,32.0,0.0,0.72,2256.0,0.19946808510638298,0.0,0.0,1.2765957446808511
D. Vanzeir,d vanzeir,Belgium,6.0,0.0,41.0,0.0,0.52,2482.0,0.217566478646253,0.0,0.0,1.4867042707493956
D. Vente,d vente,Netherlands,13.0,0.0,33.99999999999999,0.0,0.78,2524.0,0.4635499207606973,0.0,0.0,1.212361331220285
Dani Raba,dani raba,Spain,8.0,0.0,31.0,0.0,1.0,1896.0,0.379746835443038,0.0,0.0,1.4715189873417722
Dani Rodríguez,dani rodriguez,Spain,4.0,0.0,21.999999999999996,0.0,1.0,2175.0,0.16551724137931034,0.0,0.0,0.9103448275862067
Darder,darder,Spain,1.9999999999999998,0.0,27.0,0.0,1.0,2770.0,0.06498194945848375,0.0,0.0,0.8772563176895307
Diego Moreira,diego moreira,Portugal,1.9999999999999998,0.0,18.999999999999996,0.0,1.0,2574.0,0.06993006993006992,0.0,0.0,0.6643356643356642
E. Barco,e barco,Argentina,1.0,0.0,28.0,0.0,0.7,1360.0,0.0661764705882353,0.0,0.0,1.8529411764705883
E. Cavani,e cavani,Uruguay,11.000000000000002,0.0,45.00000000000001,0.0,0.7,2047.0,0.48363458720078173,0.0,0.0,1.9785051294577434
E. Demirović,e demirovic,Bosnia and Herzegovina,15.0,0.0,52.0,0.0,1.0,1862.0,0.7250268528464017,0.0,0.0,2.513426423200859
E. Džeko,e dzeko,Bosnia and Herzegovina,14.000000000000002,0.0,89.0,0.0,0.72,2247.0,0.5607476635514019,0.0,0.0,3.5647530040053406
E. Emegha,e emegha,Netherlands,13.999999999999998,0.0,53.0,0.0,1.0,2302.0,0.5473501303214595,0.0,0.0,2.0721112076455257
E. Eze,e eze,England,8.0,0.0,61.0,0.0,1.0,2603.0,0.27660391855551286,0.0,0.0,2.109104878985786
E. Guessand,e guessand,France,24.0,0.0,88.0,0.0,1.0,5150.0,0.41941747572815535,0.0,0.0,1.5378640776699029
E. Haaland,e haaland,Norway,22.0,0.0,92.0,0.0,1.0,2741.0,0.7223641006931777,0.0,0.0,3.0207953301714703
E. Kılınç,e klnc,Türkiye,3.0000000000000004,0.0,20.0,0.0,0.72,2381.0,0.1133977320453591,0.0,0.0,0.755984880302394
E. Latte Lath,e latte lath,Ivory Coast,11.0,0.0,47.0,0.0,0.68,1768.0,0.5599547511312217,0.0,0.0,2.3925339366515836
E. Álvarez,e alvarez,Mexico,4.999999999999999,0.0,50.0,0.0,0.54,2480.0,0.18145161290322576,0.0,0.0,1.814516129032258
Eduardo Sasha,eduardo sasha,Brazil,8.0,0.0,47.99999999999999,0.0,0.74,2099.0,0.3430204859456884,0.0,0.0,2.0581229156741303
Estêvão,estevao,Brazil,26.0,0.0,116.0,0.0,0.74,4228.0,0.5534531693472091,0.0,0.0,2.469252601702933
Evander,evander,Brazil,30.0,0.0,142.00000000000003,0.0,0.52,5104.0,0.5289968652037618,0.0,0.0,2.5039184952978064
F. Aursnes,f aursnes,Norway,3.0,0.0,19.999999999999996,0.0,0.82,2357.0,0.11455239711497667,0.0,0.0,0.7636826474331776
F. Colidio,f colidio,Argentina,13.0,0.0,67.0,0.0,0.7,2276.0,0.5140597539543058,0.0,0.0,2.649384885764499
