player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match
Erling Haaland,Norway,erling haaland,29,22.9,2,0,16,2025-11-16,37,1.8125,0.7837837837837838
Harry Kane,England,harry kane,22,18.4,7,3,17,2025-11-16,44,1.2941176470588236,0.5
Cristiano Ronaldo,Portugal,cristiano ronaldo,23,17.55,5,0,16,2025-10-14,43,1.4375,0.5348837209302325
Romelu Lukaku,Belgium,romelu lukaku,18,14.549999999999999,2,0,10,2025-06-09,41,1.8,0.43902439024390244
Kylian Mbappé,France,kylian mbappe,17,14.1,7,1,12,2025-11-13,43,1.4166666666666667,0.3953488372093023
Aymen Hussein,Iraq,aymen hussein,15,13.65,3,6,12,2026-03-31,51,1.25,0.29411764705882354
Almoez Ali,Qatar,almoez ali,14,12.2,2,2,9,2024-11-14,53,1.5555555555555556,0.2641509433962264
Ismael Díaz,Panama,ismael diaz,12,11.7,2,10,7,2025-10-14,58,1.7142857142857142,0.20689655172413793
Mehdi Taremi,Iran,mehdi taremi,13,11.5,3,3,9,2025-06-10,42,1.4444444444444444,0.30952380952380953
Son Heung-min,South Korea,son heungmin,13,11.5,4,3,11,2024-11-19,44,1.1818181818181819,0.29545454545454547
Akram Afif,Qatar,akram afif,12,11.4,5,8,8,2025-03-20,53,1.5,0.22641509433962265
Viktor Gyökeres,Sweden,viktor gyokeres,16,11.35,2,0,10,2026-03-31,40,1.6,0.4
Yazan Al-Naimat,Jordan,yazan alnaimat,12,10.8,1,4,10,2024-11-19,54,1.2,0.2222222222222222
Ayase Ueda,Japan,ayase ueda,12,10.8,2,4,7,2024-09-10,41,1.7142857142857142,0.2926829268292683
Cody Gakpo,Netherlands,cody gakpo,13,10.75,5,3,12,2025-11-17,43,1.0833333333333333,0.3023255813953488
Andrej Kramarić,Croatia,andrej kramaric,13,10.7,1,1,11,2025-09-08,40,1.1818181818181819,0.325
Marko Arnautović,Austria,marko arnautovic,13,10.7,4,1,6,2025-11-15,40,2.1666666666666665,0.325
Scott McTominay,Scotland,scott mctominay,13,10.45,1,1,11,2025-11-18,40,1.1818181818181819,0.325
Mohamed Salah,Egypt,mohamed salah,14,10.15,4,0,10,2026-01-10,50,1.4,0.28
