player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Erling Haaland,Norway,erling haaland,29,22.9,2,0,16,2025-11-16,37,1.8125,0.7837837837837838,,,,,78.0,,3.4349999999999996,8.587499999999999,6.869999999999999,0.9999999999999999,2026
Harry Kane,England,harry kane,22,18.4,7,3,17,2025-11-16,44,1.2941176470588236,0.5,,,,,78.0,,2.76,6.8999999999999995,5.52,0.8218282127261385,2026
Romelu Lukaku,Belgium,romelu lukaku,18,14.549999999999999,2,0,10,2025-06-09,41,1.8,0.43902439024390244,,,,,78.0,,2.1824999999999997,5.456249999999999,4.364999999999999,0.6693923502807236,2026
Aymen Hussein,Iraq,aymen hussein,15,13.65,3,6,12,2026-03-31,51,1.25,0.29411764705882354,,,,,78.0,,2.0475,5.1187499999999995,4.095,0.6337579928259514,2026
Almoez Ali,Qatar,almoez ali,14,12.2,2,2,9,2024-11-14,53,1.5555555555555556,0.2641509433962264,,,,,78.0,,1.8299999999999998,4.574999999999999,3.6599999999999997,0.5763470835932627,2026
Ismael Díaz,Panama,ismael diaz,12,11.7,2,10,7,2025-10-14,58,1.7142857142857142,0.20689655172413793,,,,,78.0,,1.755,4.387499999999999,3.51,0.5565502183406115,2026
Mehdi Taremi,Iran,mehdi taremi,13,11.5,3,3,9,2025-06-10,42,1.4444444444444444,0.30952380952380953,,,,,78.0,,1.7249999999999999,4.3125,3.4499999999999997,0.5486314722395509,2026
Akram Afif,Qatar,akram afif,12,11.4,5,8,8,2025-03-20,53,1.5,0.22641509433962265,,,,,78.0,,1.71,4.275,3.42,0.5446720991890207,2026
Viktor Gyökeres,Sweden,viktor gyokeres,16,11.35,2,0,10,2026-03-31,40,1.6,0.4,,,,,78.0,,1.7025,4.25625,3.405,0.5426924126637556,2026
Ayase Ueda,Japan,ayase ueda,12,10.8,2,4,7,2024-09-10,41,1.7142857142857142,0.2926829268292683,,,,,78.0,,1.62,4.050000000000001,3.24,0.5209158608858392,2026
