player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,goals_total,xg_total,shots_total,shots_on_target_pct,league_difficulty,minutes,goals_per90,xg_per90,npxg_per90,shots_per90,has_club_stats,player_club_name,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,adj_xg_per90,adj_goals_per90,adj_shots_per90,player_skill,boot_score,predicted_goals,year,tournament_goals
Harry Kane,England,harry kane,22,18.4,7,3,17,2025-11-16,44,1.2941176470588236,0.5,52.0,0.0,180.0,0.0,1.0,4778.0,0.9794893260778568,0.0,0.0,3.390539974884889,True,H. Kane,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.0,0.9794893260778568,3.390539974884889,0.5981471247383006,0.4214619735816552,6.31,2026,
Kylian Mbappé,France,kylian mbappe,17,14.1,7,1,12,2025-11-13,43,1.4166666666666667,0.3953488372093023,31.0,0.0,122.0,0.0,1.0,2917.0,0.9564621186150154,0.0,0.0,3.764141241001029,True,Kylian Mbappé,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.0,0.9564621186150154,3.764141241001029,0.5093543846870963,0.4190794286274951,6.12,2026,
Lionel Messi,Argentina,lionel messi,9,7.8,0,1,5,2025-09-04,42,1.8,0.21428571428571427,42.0,0.0,144.0,0.0,0.52,3510.0,1.0769230769230769,0.0,0.0,3.692307692307693,True,L. Messi,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.0,1.0769230769230769,3.692307692307693,0.3596845691934715,0.3372258646930311,6.05,2026,
Lautaro Martínez,Argentina,lautaro martinez,9,8.4,0,5,8,2025-09-04,42,1.125,0.21428571428571427,12.0,0.0,83.0,0.0,1.0,2577.0,0.4190919674039581,0.0,0.0,2.89871944121071,True,Lautaro Martínez,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.0,0.4190919674039581,2.89871944121071,0.32978125066680253,0.3091897093751674,2.97,2026,
Mikel Oyarzabal,Spain,mikel oyarzabal,12,9.35,3,1,10,2025-11-18,44,1.2,0.2727272727272727,,,,0.33,0.5,,0.20454545454545453,0.23181818181818178,0.23181818181818178,0.7636363636363636,False,,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.23181818181818178,0.20454545454545453,0.7636363636363636,0.34282340649565723,0.3017637723334582,2.19,2026,
Ferran Torres,Spain,ferran torres,7,5.85,0,1,6,2025-11-15,44,1.1666666666666667,0.1590909090909091,9.0,0.0,35.0,0.0,1.0,1042.0,0.7773512476007678,0.0,0.0,3.023032629558541,True,Ferran Torres,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.0,0.7773512476007678,3.023032629558541,0.31806126447455324,0.27996736857057847,4.29,2026,
Ousmane Dembélé,France,ousmane dembele,3,2.05,0,0,3,2025-03-23,43,1.0,0.06976744186046512,42.00000000000001,0.0,156.00000000000003,0.0,1.0,3472.0,1.088709677419355,0.0,0.0,4.043778801843319,True,O. Dembélé,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.0,1.088709677419355,4.043778801843319,0.3267036421576458,0.2688006225175749,5.24,2026,
Mikel Merino,Spain,mikel merino,10,8.15,0,1,7,2025-10-14,44,1.4285714285714286,0.22727272727272727,,,,0.33,0.5,,0.17045454545454544,0.19318181818181818,0.19318181818181818,0.6363636363636364,False,,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.19318181818181818,0.17045454545454544,0.6363636363636364,0.2908898557565665,0.2560502536974499,1.82,2026,
Julián Alvarez,Argentina,julian alvarez,6,5.4,0,2,6,2025-06-05,42,1.0,0.14285714285714285,17.0,0.0,61.0,0.0,1.0,2518.0,0.607625099285147,0.0,0.0,2.180301826846704,True,J. Álvarez,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.0,0.607625099285147,2.180301826846704,0.2685581490297395,0.25178937820432257,3.52,2026,
Cody Gakpo,Netherlands,cody gakpo,13,10.75,5,3,12,2025-11-17,43,1.0833333333333333,0.3023255813953488,,,,0.33,0.5,,0.22674418604651161,0.2569767441860465,0.2569767441860465,0.8465116279069766,False,,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.2569767441860465,0.22674418604651161,0.8465116279069766,0.4025606604652978,0.23552860812107898,2.16,2026,
