team,group,p_qualify,p_top_group,expected_points,year
Argentina,J,0.9975,0.966,8.7345,2026
France,I,0.996,0.929,8.589,2026
Spain,H,0.995,0.9405,8.5455,2026
Germany,E,0.993,0.9085,8.439,2026
England,L,0.9905,0.824,8.1425,2026
Netherlands,F,0.988,0.8205,8.115,2026
Portugal,K,0.9815,0.781,8.082,2026
Brazil,C,0.9815,0.6645,7.7055,2026
Belgium,G,0.966,0.8205,7.9755,2026
Mexico,A,0.962,0.823,7.825,2026
Morocco,C,0.9605,0.332,6.831,2026
Uruguay,H,0.946,0.059,5.901,2026
Croatia,L,0.9325,0.1745,6.227,2026
United States,D,0.9315,0.794,7.5735,2026
Colombia,K,0.93,0.2165,6.384,2026
Switzerland,B,0.9225,0.4085,6.9255,2026
Japan,F,0.922,0.175,6.0085,2026
Senegal,I,0.899,0.0675,5.7,2026
Canada,B,0.846,0.5545,6.029,2026
Iran,G,0.799,0.1495,5.5925,2026
Ecuador,E,0.7515,0.0675,5.2475,2026
Austria,J,0.73,0.0245,4.902,2026
South Korea,A,0.724,0.143,5.425,2026
Australia,D,0.432,0.083,3.0645,2026
Türkiye,D,0.38,0.0865,3.2875,2026
Algeria,J,0.261,0.0095,3.6585,2026
Paraguay,D,0.2565,0.0365,2.5075,2026
Ivory Coast,E,0.2495,0.024,3.8135,2026
Egypt,G,0.231,0.0295,3.989,2026
Czechia,A,0.1835,0.026,2.3085,2026
Qatar,B,0.178,0.0255,3.0605,2026
South Africa,A,0.1305,0.008,1.683,2026
Norway,I,0.092,0.0035,2.776,2026
Panama,L,0.0715,0.0015,3.075,2026
Scotland,C,0.0535,0.0035,3.048,2026
Bosnia and Herzegovina,B,0.0535,0.0115,1.564,2026
Saudi Arabia,H,0.0485,0.0005,2.523,2026
Tunisia,F,0.0475,0.0025,2.038,2026
Uzbekistan,K,0.0465,0.001,1.512,2026
Sweden,F,0.0425,0.002,1.8245,2026
Congo DR,K,0.042,0.0015,1.386,2026
Iraq,I,0.013,0.0,0.9295,2026
Jordan,J,0.0115,0.0,0.705,2026
Cape Verde,H,0.0105,0.0,1.0305,2026
Curaçao,E,0.006,0.0,0.486,2026
Ghana,L,0.0055,0.0,0.5355,2026
Haiti,C,0.0045,0.0,0.4155,2026
New Zealand,G,0.004,0.0005,0.3825,2026
