player,team,minutes,goals,assists,def_actions,key_passes,carries,duels_total,duels_won,duel_win_rate,goals_assists_per90,def_per90,creation_per90,pot_score,year
Gonçalo Matias Ramos,Portugal,102.5,3.0,0.0,38.0,0.0,32.0,8.0,0.0,0.0,2.6341463414634148,33.36585365853659,2.809756097560976,0.5419050368018474,2022
Wout Weghorst,Netherlands,90.0,3.0,0.0,34.0,0.0,7.0,4.0,0.0,0.0,3.0,34.0,0.7000000000000001,0.5162311844700509,2022
Álvaro Borja Morata Martín,Spain,107.5,3.0,0.0,28.0,0.0,35.0,2.0,0.0,0.0,2.511627906976744,23.441860465116278,2.9302325581395348,0.5033667697522326,2022
Marcus Rashford,England,148.0,3.0,0.0,25.0,0.0,70.0,7.0,0.0,0.0,1.8243243243243243,15.202702702702704,4.256756756756757,0.4375633906251315,2022
Rafael Alexandre Conceição Leão,Portugal,104.5,2.0,0.0,13.0,0.0,57.0,1.0,0.0,0.0,1.7224880382775118,11.196172248803826,4.909090909090909,0.43681178186824887,2022
Vincent Paté Aboubakar,Cameroon,90.5,2.0,0.0,15.0,0.0,35.0,5.0,0.0,0.0,1.988950276243094,14.917127071823204,3.4806629834254146,0.43073662530906365,2022
Kai Havertz,Germany,90.0,2.0,0.0,23.0,0.0,27.0,3.0,0.0,0.0,2.0,23.0,2.7,0.42565737568774004,2022
Randal Kolo Muani,France,129.5,2.0,0.0,68.0,0.0,45.0,16.0,0.0,0.0,1.38996138996139,47.25868725868726,3.1274131274131274,0.42464886027639065,2022
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,104.5,2.0,0.0,35.0,0.0,36.0,9.0,0.0,0.0,1.7224880382775118,30.143540669856456,3.1004784688995213,0.4222230252168458,2022
Olivier Giroud,France,190.0,4.0,0.0,82.0,0.0,37.0,21.0,0.0,0.0,1.894736842105263,38.8421052631579,1.7526315789473685,0.41981191299644316,2022
Takuma Asano,Japan,105.0,2.0,0.0,38.0,0.0,30.0,9.0,0.0,0.0,1.7142857142857142,32.57142857142857,2.571428571428571,0.40852916314454774,2022
Daizen Maeda,Japan,91.5,1.0,0.0,95.0,0.0,7.0,12.0,0.0,0.0,0.9836065573770493,93.44262295081968,0.6885245901639345,0.4059996119895237,2022
Richarlison de Andrade,Brazil,188.5,3.0,0.0,73.0,0.0,66.0,13.0,0.0,0.0,1.4323607427055702,34.85411140583554,3.151193633952255,0.3979727759434371,2022
Mislav Oršić,Croatia,123.5,2.0,0.0,32.0,0.0,52.0,3.0,0.0,0.0,1.45748987854251,23.31983805668016,3.7894736842105265,0.39350259797734755,2022
Enner Remberto Valencia Lastra,Ecuador,187.0,3.0,0.0,54.0,0.0,74.0,15.0,0.0,0.0,1.443850267379679,25.989304812834224,3.5614973262032086,0.3905972450983168,2022
Kylian Mbappé Lottin,France,555.0,9.0,0.0,44.0,0.0,298.0,6.0,0.0,0.0,1.4594594594594594,7.135135135135135,4.832432432432432,0.38810928648985327,2022
Nikola Vlašić,Croatia,151.0,2.0,0.0,43.0,0.0,69.0,9.0,0.0,0.0,1.1920529801324502,25.629139072847682,4.112582781456954,0.3759519223035055,2022
Gonzalo Ariel Montiel,Argentina,137.0,2.0,0.0,21.0,0.0,62.0,2.0,0.0,0.0,1.3138686131386863,13.795620437956206,4.072992700729928,0.35910516313675395,2022
Bukayo Saka,England,242.5,3.0,0.0,62.0,0.0,110.0,11.0,0.0,0.0,1.11340206185567,23.010309278350515,4.082474226804123,0.3573718564085441,2022
Ritsu Doan,Japan,156.5,2.0,0.0,59.0,0.0,54.0,10.0,0.0,0.0,1.1501597444089458,33.9297124600639,3.1054313099041533,0.3562210273590284,2022
Julián Álvarez,Argentina,329.0,4.0,0.0,138.0,0.0,106.0,18.0,0.0,0.0,1.094224924012158,37.75075987841945,2.899696048632219,0.35156008174786707,2022
Sam Adekugbe,Canada,110.0,0.0,0.0,17.0,0.0,53.0,,,0.5,0.0,13.909090909090908,4.336363636363637,0.3437325528722289,2022
Martin Hongla Yma II,Cameroon,108.0,0.0,0.0,23.0,0.0,47.0,,,0.5,0.0,19.166666666666668,3.916666666666667,0.3426500484445828,2022
Bruno Guimarães Rodriguez Moura,Brazil,97.5,0.0,0.0,10.0,0.0,49.0,,,0.5,0.0,9.230769230769232,4.523076923076924,0.33795534580648257,2022
