player,team,intl_goals,attack_score,player_norm,playmaker_score,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,pot_score,goals,assists,year
Harry Kane,England,22,0.4214619735816552,harry kane,0.7731441048034935,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.6121129261068183,22,0,2026
Lionel Messi,Argentina,9,0.3372258646930311,lionel messi,0.3565502183406114,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.47871149444398675,9,0,2026
Mikel Oyarzabal,Spain,12,0.3017637723334582,mikel oyarzabal,0.41746724890829695,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.46420645998602394,12,0,2026
Kylian Mbappé,France,17,0.4190794286274951,kylian mbappe,0.05,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.4447815039472316,17,0,2026
Mikel Merino,Spain,10,0.2560502536974499,mikel merino,0.3703056768558952,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.3941054475485264,10,0,2026
Romelu Lukaku,Belgium,18,0.21395218401371438,romelu lukaku,0.6218340611353712,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.3532008760192704,18,0,2026
Julián Alvarez,Argentina,6,0.25178937820432257,julian alvarez,0.26222707423580793,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.3430866096551339,6,0,2026
Lautaro Martínez,Argentina,9,0.3091897093751674,lautaro martinez,0.05,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.34196203949712023,9,0,2026
Cody Gakpo,Netherlands,13,0.23552860812107898,cody gakpo,0.4724890829694324,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.28946730232466844,13,0,2026
Ferran Torres,Spain,7,0.27996736857057847,ferran torres,0.05,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.28088962954807767,7,0,2026
Cristiano Ronaldo,Portugal,23,0.23272605972498178,cristiano ronaldo,0.05,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.2746889681814279,23,0,2026
Dani Olmo,Spain,6,0.17704861937080701,dani olmo,0.2681222707423581,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.2616064116819196,6,0,2026
Ayase Ueda,Japan,12,0.22165338097799406,ayase ueda,0.4744541484716158,F,0.9734,0.0058,0.5480564732170767,4.39546,0.9508560125503036,0.4,0.25945078517112385,12,0,2026
Mehdi Taremi,Iran,13,0.21919425451922853,mehdi taremi,0.5019650655021834,G,0.9475,0.0014,0.5233122094909591,4.2868200000000005,0.9426703219353165,0.4,0.25678506457380335,13,0,2026
Ousmane Dembélé,France,3,0.2688006225175749,ousmane dembele,0.13056768558951964,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.25021532537627716,3,0,2026
Memphis Depay,Netherlands,11,0.1921950709117111,memphis depay,0.41353711790393016,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.24151283216417976,11,0,2026
Álvaro Morata,Spain,6,0.15510375449147729,alvaro morata,0.24650655021834067,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.23585056108159178,6,0,2026
Joselu,Spain,6,0.14254474506281975,joselu,0.23078602620087335,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.21996382551610455,6,0,2026
Andrej Kramarić,Croatia,13,0.15135923319620662,andrej kramaric,0.4705240174672489,L,0.9235,0.0201,0.5201321511062831,4.31269,0.9163104686263878,0.2,0.21533531654625065,13,0,2026
Kevin De Bruyne,Belgium,9,0.16695040595498595,kevin de bruyne,0.3368995633187773,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.20883321979813158,9,0,2026
Nico Williams,Spain,5,0.13528654266817478,nico williams,0.2091703056768559,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.1986339288363907,5,0,2026
Randal Kolo Muani,France,6,0.1380678018485328,randal kolo muani,0.21703056768558954,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.1977020304656808,6,0,2026
Erling Haaland,Norway,29,0.15499380317672753,erling haaland,0.95,I,0.4703,0.0003,0.26417513167244566,3.57335,1.0703569104855832,0.3,0.1972794167750541,29,0,2026
Sardar Azmoun,Iran,10,0.16589408195904276,sardar azmoun,0.39585152838427956,G,0.9475,0.0014,0.5233122094909591,4.2868200000000005,0.9426703219353165,0.4,0.19466618962543858,10,0,2026
Lisandro Martínez,Argentina,1,0.19788905628165548,lisandro martinez,0.08930131004366812,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.19015812619306965,1,0,2026
Lamine Yamal,Spain,6,0.17921343746941243,lamine yamal,0.05,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.1887513689702919,6,0,2026
