player,team,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,intl_goal_rate,team_intl_matches,intl_goals_per_team_match,player_norm,xa_per90,key_passes_per90,progressive_passes_per90,pass_completion_pct,playmaker_score,year
Erling Haaland,Norway,29,22.9,2,0,16,2025-11-16,1.8125,36,0.8055555555555556,erling haaland,3.4349999999999996,8.587499999999999,6.869999999999999,78.0,0.95,2026
Harry Kane,England,22,18.4,7,3,17,2025-11-16,1.2941176470588236,42,0.5238095238095238,harry kane,2.76,6.8999999999999995,5.52,78.0,0.7691964285714287,2026
Cristiano Ronaldo,Portugal,23,17.55,5,0,16,2025-10-14,1.4375,41,0.5609756097560976,cristiano ronaldo,2.6325,6.58125,5.265,78.0,0.7350446428571429,2026
Romelu Lukaku,Belgium,18,14.549999999999999,2,0,10,2025-06-09,1.8,40,0.45,romelu lukaku,2.1824999999999997,5.456249999999999,4.364999999999999,78.0,0.6145089285714286,2026
Kylian Mbappé,France,17,14.1,7,1,12,2025-11-13,1.4166666666666667,42,0.40476190476190477,kylian mbappe,2.1149999999999998,5.2875,4.2299999999999995,78.0,0.5964285714285715,2026
Aymen Hussein,Iraq,15,13.65,3,6,12,2026-03-31,1.25,50,0.3,aymen hussein,2.0475,5.1187499999999995,4.095,78.0,0.5783482142857144,2026
Almoez Ali,Qatar,14,12.2,2,2,9,2024-11-14,1.5555555555555556,52,0.2692307692307692,almoez ali,1.8299999999999998,4.574999999999999,3.6599999999999997,78.0,0.5200892857142858,2026
Ismael Díaz,Panama,12,11.7,2,10,7,2025-10-14,1.7142857142857142,57,0.21052631578947367,ismael diaz,1.755,4.387499999999999,3.51,78.0,0.5000000000000001,2026
Son Heung-min,South Korea,13,11.5,4,3,11,2024-11-19,1.1818181818181819,44,0.29545454545454547,son heungmin,1.7249999999999999,4.3125,3.4499999999999997,78.0,0.4919642857142858,2026
Mehdi Taremi,Iran,13,11.5,3,3,9,2025-06-10,1.4444444444444444,42,0.30952380952380953,mehdi taremi,1.7249999999999999,4.3125,3.4499999999999997,78.0,0.4919642857142858,2026
Akram Afif,Qatar,12,11.4,5,8,8,2025-03-20,1.5,52,0.23076923076923078,akram afif,1.71,4.275,3.42,78.0,0.48794642857142867,2026
Viktor Gyökeres,Sweden,16,11.35,2,0,10,2026-03-31,1.6,40,0.4,viktor gyokeres,1.7025,4.25625,3.405,78.0,0.4859375000000001,2026
Ayase Ueda,Japan,12,10.8,2,4,7,2024-09-10,1.7142857142857142,41,0.2926829268292683,ayase ueda,1.62,4.050000000000001,3.24,78.0,0.46383928571428584,2026
Yazan Al-Naimat,Jordan,12,10.8,1,4,10,2024-11-19,1.2,53,0.22641509433962265,yazan alnaimat,1.62,4.050000000000001,3.24,78.0,0.46383928571428584,2026
Cody Gakpo,Netherlands,13,10.75,5,3,12,2025-11-17,1.0833333333333333,42,0.30952380952380953,cody gakpo,1.6125,4.03125,3.225,78.0,0.4618303571428572,2026
Marko Arnautović,Austria,13,10.7,4,1,6,2025-11-15,2.1666666666666665,40,0.325,marko arnautovic,1.6049999999999998,4.012499999999999,3.2099999999999995,78.0,0.45982142857142855,2026
Andrej Kramarić,Croatia,13,10.7,1,1,11,2025-09-08,1.1818181818181819,39,0.3333333333333333,andrej kramaric,1.6049999999999998,4.012499999999999,3.2099999999999995,78.0,0.45982142857142855,2026
Scott McTominay,Scotland,13,10.45,1,1,11,2025-11-18,1.1818181818181819,39,0.3333333333333333,scott mctominay,1.5675,3.9187499999999997,3.135,78.0,0.44977678571428575,2026
Mohamed Salah,Egypt,14,10.15,4,0,10,2026-01-10,1.4,49,0.2857142857142857,mohamed salah,1.5225,3.80625,3.045,78.0,0.43772321428571437,2026
Bruno Fernandes,Portugal,12,9.85,2,1,9,2025-11-16,1.3333333333333333,41,0.2926829268292683,bruno fernandes,1.4774999999999998,3.6937499999999996,2.9549999999999996,78.0,0.42566964285714287,2026
Mikel Oyarzabal,Spain,12,9.35,3,1,10,2025-11-18,1.2,43,0.27906976744186046,mikel oyarzabal,1.4024999999999999,3.5062499999999996,2.8049999999999997,78.0,0.4055803571428572,2026
Memphis Depay,Netherlands,11,9.25,3,1,9,2025-11-14,1.2222222222222223,42,0.2619047619047619,memphis depay,1.3875,3.46875,2.775,78.0,0.40156250000000004,2026
Musa Al-Taamari,Jordan,10,8.95,1,3,6,2025-03-20,1.6666666666666667,53,0.18867924528301888,musa altaamari,1.3424999999999998,3.3562499999999993,2.6849999999999996,78.0,0.38950892857142855,2026
Sardar Azmoun,Iran,10,8.8,0,2,8,2025-03-20,1.25,42,0.23809523809523808,sardar azmoun,1.32,3.3000000000000003,2.64,78.0,0.3834821428571429,2026
Michael Gregoritsch,Austria,11,8.75,0,1,11,2025-11-18,1.0,40,0.275,michael gregoritsch,1.3125,3.28125,2.625,78.0,0.38147321428571435,2026
Lautaro Martínez,Argentina,9,8.4,0,5,8,2025-09-04,1.125,40,0.225,lautaro martinez,1.26,3.15,2.52,78.0,0.3674107142857143,2026
Kerem Aktürkoğlu,Türkiye,11,8.25,0,1,8,2026-03-31,1.375,41,0.2682926829268293,kerem akturkoglu,1.2375,3.09375,2.475,78.0,0.36138392857142865,2026
Marcel Sabitzer,Austria,10,8.15,3,1,9,2025-09-09,1.1111111111111112,40,0.25,marcel sabitzer,1.2225,3.05625,2.445,78.0,0.3573660714285715,2026
Mikel Merino,Spain,10,8.15,0,1,7,2025-10-14,1.4285714285714286,43,0.23255813953488372,mikel merino,1.2225,3.05625,2.445,78.0,0.3573660714285715,2026
Luis Díaz,Colombia,9,7.95,1,2,8,2025-06-10,1.125,44,0.20454545454545456,luis diaz,1.1925,2.9812499999999997,2.385,78.0,0.34933035714285715,2026
Lionel Messi,Argentina,9,7.8,0,1,5,2025-09-04,1.8,40,0.225,lionel messi,1.17,2.925,2.34,78.0,0.34330357142857143,2026
Alexander Sørloth,Norway,10,7.75,0,0,9,2025-11-13,1.1111111111111112,36,0.2777777777777778,alexander srloth,1.1624999999999999,2.9062499999999996,2.3249999999999997,78.0,0.34129464285714284,2026
Ali Olwan,Jordan,9,7.6499999999999995,3,0,6,2025-06-05,1.5,53,0.16981132075471697,ali olwan,1.1475,2.86875,2.295,78.0,0.3372767857142857,2026
Chris Wood,New Zealand,9,7.6499999999999995,0,0,4,2025-03-21,2.25,35,0.2571428571428571,chris wood,1.1475,2.86875,2.295,78.0,0.3372767857142857,2026
Kevin De Bruyne,Belgium,9,7.3,3,1,6,2025-10-13,1.5,40,0.225,kevin de bruyne,1.095,2.7375,2.19,78.0,0.32321428571428573,2026
Lee Kang-in,South Korea,8,7.25,0,3,6,2025-06-10,1.3333333333333333,44,0.18181818181818182,lee kangin,1.0875,2.71875,2.175,78.0,0.3212053571428572,2026
Edin Džeko,Bosnia and Herzegovina,9,7.1499999999999995,0,0,8,2026-03-26,1.125,35,0.2571428571428571,edin dzeko,1.0724999999999998,2.6812499999999995,2.1449999999999996,78.0,0.3171875,2026
Jesús Ferreira,United States,7,7.0,1,7,3,2023-07-12,2.3333333333333335,56,0.125,jesus ferreira,1.05,2.625,2.1,78.0,0.31116071428571435,2026
Jordan Ayew,Ghana,9,6.95,4,0,6,2025-10-08,1.5,39,0.23076923076923078,jordan ayew,1.0425,2.60625,2.085,78.0,0.30915178571428575,2026
Zeki Amdouni,Switzerland,9,6.8999999999999995,1,0,8,2024-11-15,1.125,41,0.21951219512195122,zeki amdouni,1.035,2.5875,2.07,78.0,0.30714285714285716,2026
Mohamed Amoura,Algeria,8,6.8,2,0,4,2025-10-14,2.0,51,0.1568627450980392,mohamed amoura,1.02,2.55,2.04,78.0,0.30312500000000003,2026
José Fajardo,Panama,7,6.55,0,4,7,2025-11-13,1.0,57,0.12280701754385964,jose fajardo,0.9824999999999999,2.45625,1.9649999999999999,78.0,0.2930803571428572,2026
Darwin Núñez,Uruguay,7,6.25,1,2,6,2024-06-27,1.1666666666666667,42,0.16666666666666666,darwin nunez,0.9375,2.34375,1.875,78.0,0.28102678571428574,2026
Duckens Nazon,Haiti,7,6.1,1,1,5,2025-10-09,1.4,36,0.19444444444444445,duckens nazon,0.9149999999999999,2.2874999999999996,1.8299999999999998,78.0,0.2750000000000001,2026
Donyell Malen,Netherlands,7,6.0,0,2,5,2025-11-17,1.4,42,0.16666666666666666,donyell malen,0.8999999999999999,2.25,1.7999999999999998,78.0,0.2709821428571429,2026
Tomáš Souček,Czechia,7,5.85,2,1,7,2025-11-17,1.0,40,0.175,tomas soucek,0.8775,2.1937499999999996,1.755,78.0,0.2649553571428572,2026
Ferran Torres,Spain,7,5.85,0,1,6,2025-11-15,1.1666666666666667,43,0.16279069767441862,ferran torres,0.8775,2.1937499999999996,1.755,78.0,0.2649553571428572,2026
Sadio Mané,Senegal,8,5.75,1,0,6,2026-01-14,1.3333333333333333,47,0.1702127659574468,sadio mane,0.8624999999999999,2.15625,1.7249999999999999,78.0,0.2609375,2026
Christoph Baumgartner,Austria,7,5.6,0,1,6,2025-06-10,1.1666666666666667,40,0.175,christoph baumgartner,0.84,2.1,1.68,78.0,0.2549107142857143,2026
Dani Olmo,Spain,6,5.55,0,3,6,2025-11-18,1.0,43,0.13953488372093023,dani olmo,0.8324999999999999,2.08125,1.6649999999999998,78.0,0.25290178571428573,2026
Breel Embolo,Switzerland,6,5.4,0,2,5,2025-11-15,1.2,41,0.14634146341463414,breel embolo,0.81,2.0250000000000004,1.62,78.0,0.24687500000000007,2026
Abbosbek Fayzullaev,Uzbekistan,6,5.4,0,2,5,2025-03-25,1.2,44,0.13636363636363635,abbosbek fayzullaev,0.81,2.0250000000000004,1.62,78.0,0.24687500000000007,2026
Takumi Minamino,Japan,6,5.4,0,2,4,2024-11-15,1.5,41,0.14634146341463414,takumi minamino,0.81,2.0250000000000004,1.62,78.0,0.24687500000000007,2026
Raphinha,Brazil,6,5.25,3,1,5,2025-03-20,1.2,39,0.15384615384615385,raphinha,0.7875,1.96875,1.575,78.0,0.24084821428571435,2026
Firas Al-Buraikan,Saudi Arabia,6,5.25,1,1,4,2025-10-08,1.5,58,0.10344827586206896,firas alburaikan,0.7875,1.96875,1.575,78.0,0.24084821428571435,2026
Mohammad Mohebi,Iran,6,5.25,0,1,5,2025-03-20,1.2,42,0.14285714285714285,mohammad mohebi,0.7875,1.96875,1.575,78.0,0.24084821428571435,2026
Bukayo Saka,England,6,5.25,0,1,4,2025-11-13,1.5,42,0.14285714285714285,bukayo saka,0.7875,1.96875,1.575,78.0,0.24084821428571435,2026
Patrik Schick,Czechia,6,5.25,1,1,5,2026-03-26,1.2,40,0.15,patrik schick,0.7875,1.96875,1.575,78.0,0.24084821428571435,2026
Florian Wirtz,Germany,7,5.25,0,2,6,2025-09-07,1.1666666666666667,42,0.16666666666666666,florian wirtz,0.7875,1.96875,1.575,78.0,0.24084821428571435,2026
Enner Valencia,Ecuador,6,5.1,2,0,5,2025-09-09,1.2,41,0.14634146341463414,enner valencia,0.7649999999999999,1.9124999999999996,1.5299999999999998,78.0,0.23482142857142857,2026
Kusini Yengi,Australia,6,5.1,1,0,4,2024-11-19,1.5,40,0.15,kusini yengi,0.7649999999999999,1.9124999999999996,1.5299999999999998,78.0,0.23482142857142857,2026
Bernardo Silva,Portugal,6,5.0,0,1,6,2025-09-09,1.0,41,0.14634146341463414,bernardo silva,0.75,1.875,1.5,78.0,0.23080357142857144,2026
Álvaro Morata,Spain,6,5.0,0,1,4,2024-10-15,1.5,43,0.13953488372093023,alvaro morata,0.75,1.875,1.5,78.0,0.23080357142857144,2026
Ayoub El Kaabi,Morocco,7,4.9,0,0,4,2025-12-29,1.75,53,0.1320754716981132,ayoub el kaabi,0.735,1.8375,1.47,78.0,0.2267857142857143,2026
João Félix,Portugal,6,4.85,0,0,5,2025-09-06,1.2,41,0.14634146341463414,joao felix,0.7274999999999999,1.8187499999999999,1.4549999999999998,78.0,0.22477678571428572,2026
Jamal Musiala,Germany,6,4.8,0,3,6,2025-03-23,1.0,42,0.14285714285714285,jamal musiala,0.72,1.7999999999999998,1.44,78.0,0.22276785714285718,2026
