team,squad_size,top3_events,total_events,depth_score,year
Argentina,24,5061,15567,0.6748891886683368,2022
Australia,20,1849,5971,0.6903366270306481,2022
Belgium,20,2175,6106,0.6437929905011464,2022
Brazil,26,2856,10801,0.7355800388852884,2022
Cameroon,22,1242,4409,0.7183034701746428,2022
Canada,19,1680,5477,0.6932627350739455,2022
Costa Rica,22,1264,4037,0.686896210056973,2022
Croatia,20,5067,15111,0.6646813579511615,2022
Denmark,20,2202,6411,0.6565278427702387,2022
Ecuador,18,1727,5027,0.6564551422319476,2022
England,21,3622,10420,0.6523992322456813,2022
France,24,3662,13304,0.7247444377630787,2022
Germany,20,2201,6412,0.6567373674360574,2022
Ghana,20,1551,4694,0.6695781849169152,2022
Iran,21,1128,3996,0.7177177177177176,2022
Japan,22,1899,6327,0.6998577524893315,2022
Mexico,21,1597,4945,0.6770475227502528,2022
Morocco,25,3573,10619,0.6635276391373952,2022
Netherlands,21,3224,9969,0.6765974521015147,2022
Poland,21,1600,5411,0.7043060432452412,2022
Portugal,24,2623,10138,0.7412704675478399,2022
Qatar,20,1683,4863,0.6539173349784084,2022
Saudi Arabia,23,1403,4389,0.6803372066529961,2022
Senegal,20,1864,6030,0.6908789386401326,2022
Serbia,23,1539,5139,0.7005253940455342,2022
South Korea,21,2169,6857,0.6836809100189587,2022
Spain,21,4496,12285,0.634025234025234,2022
Switzerland,24,2135,6763,0.6843116959929025,2022
Tunisia,21,1440,4764,0.6977329974811083,2022
United States,20,2413,7628,0.6836654431043524,2022
Uruguay,19,1608,4942,0.6746256576284905,2022
Wales,18,1460,4717,0.6904812380750477,2022
