team,group,p_qualify,p_top_group,expected_points,team_win_prob,fifa_rank,fifa_points,last5_win_rate,last20_win_rate,group_opponent_fifa,group_difficulty,expected_knockout_matches,progression_factor,expected_tournament_matches,sim_score,fifa_expected,surprise_delta,year
Argentina,J,0.9947,0.9399,8.5089,0.2258,3,1874.81,0.4,0.7,1516.3866666666665,0.8088215161358573,2.51006,0.93788,5.51006,0.9976149999999999,0.32539682539682535,0.6722,2026
Germany,E,0.9986,0.8431,7.857,0.0407,10,1730.37,0.4,0.65,1474.1366666666665,0.8519199169349138,1.97455,0.6508453025823379,4.97455,0.6971340228023217,0.08928571428571429,0.6078,2026
Switzerland,B,0.9801,0.5127,6.8013,0.0016,19,1649.4,0.3,0.575,1465.76,0.8886625439553777,1.59028,0.5508782838864734,4.59028,0.603388272918188,0.041353383458646614,0.562,2026
Mexico,A,0.9746,0.6954,6.9511,0.0074,15,1681.03,0.4,0.6,1506.5900000000001,0.8962302873833305,1.7443399999999998,0.5786596221169522,4.744339999999999,0.613424548950835,0.05555555555555555,0.5579,2026
Brazil,C,0.9972,0.7124,7.0951,0.0563,6,1761.16,0.4,0.55,1515.3100000000002,0.8604045061209658,1.9073099999999998,0.6656539681950302,4.90731,0.7027764059073414,0.15674603174603174,0.546,2026
Morocco,C,0.9982,0.2766,6.769,0.0314,8,1755.87,0.3,0.725,1517.0733333333335,0.8640009416034977,1.49762,0.5903277532298429,4.4976199999999995,0.6569653876025459,0.11458333333333333,0.5424,2026
Japan,F,0.971,0.2278,5.974,0.0053,18,1660.43,0.4,0.65,1585.2300000000002,0.954710526791253,1.36069,0.5438605520176889,4.36069,0.5855829150321956,0.04431216931216931,0.5413,2026
Uruguay,H,0.9698,0.1153,5.803,0.0077,17,1673.07,0.2,0.45,1554.6533333333334,0.9292219293474472,1.27525,0.5197614091597978,4.27525,0.5847437003746434,0.047619047619047616,0.5371,2026
Belgium,G,0.9905,0.7492,6.9948,0.0174,9,1734.71,0.4,0.55,1486.7033333333331,0.8570327797345568,1.8314600000000003,0.6052473827384152,4.83146,0.6371071516180198,0.10052910052910052,0.5366,2026
Canada,B,0.9404,0.4107,5.3191,0.0005,30,1556.48,0.3,0.6,1496.7333333333333,0.9616142406798246,1.4582899999999999,0.52301993348417,4.45829,0.5489794083743774,0.021825396825396824,0.5272,2026
Ecuador,E,0.9658,0.1101,5.1004,0.0004,23,1594.78,0.4,0.6,1519.3333333333333,0.9526914893172308,1.2480399999999998,0.5262944849577382,4.24804,0.5551139039985653,0.03209109730848861,0.523,2026
United States,D,0.9372,0.6036,5.9588,0.0067,16,1673.13,0.2,0.5,1561.07,0.9330237339597042,1.62427,0.5332024935631385,4.62427,0.5721857040609624,0.05133928571428571,0.5208,2026
Croatia,L,0.9167,0.2138,6.2834,0.0218,11,1717.07,0.2,0.575,1570.9733333333334,0.9149151364436706,1.32558,0.5212650642453209,4.32558,0.5939960311520742,0.08008658008658008,0.5139,2026
